"","Uninfected_blood_CD4+ Treg","Uninfected_blood_CD4+ Naive","Uninfected_blood_CD4+ EM","Uninfected_blood_CD4+ CTL","Uninfected_blood_CD4+ Proliferating","Acute-Infected_blood_CD4+ CTL","Acute-Infected_blood_CD4+ Naive","Acute-Infected_blood_CD4+ EM","Acute-Infected_blood_CD4+ Treg","Acute-Infected_blood_CD4+ Proliferating","Uninfected_brain_CD4+ CTL","Uninfected_brain_CD8+ Effector","Acute-Infected_brain_CD8+ Effector","Acute-Infected_brain_CD4+ CTL"
"BRCA1 (290g)",0.0232729169999264,0.135208452466177,0.0928015036998397,0.0315568870258434,0.00205770818070972,0.137675132786479,0.290832137117326,0.109830170141909,0.0460127570230691,0.0854426909201186,0.118693635232349,0.0832511322381728,0.0614609718018373,0.063014092364014
"E2F1 (1136g)",0.0226866066585643,0.127779538850769,0.0895119165243858,0.0315122232162851,0.00179660687799033,0.147010384925098,0.292347786595767,0.111385378953421,0.0469892773192094,0.0800659529766872,0.113720596118209,0.0815571928557929,0.0673026661882116,0.0679061099256508
"TFDP1 (619g)",0.0221034888038271,0.124638818648805,0.0867011859170909,0.0309983784279669,0.00194279013073795,0.147120768190042,0.293754031078139,0.110526949389705,0.0472313399204586,0.0887066641065183,0.110181745696476,0.0788044882778268,0.0678687698480469,0.0680983837958106
"JUND (456g)",0.0246505183424167,0.136111037750284,0.0978987374755221,0.0326796036786147,0.00123809604742997,0.143089673404533,0.293865731834084,0.110626171870164,0.0457616915132864,0.0517822184816252,0.123932994825266,0.089767410943205,0.0638865925446307,0.0665538788311304
"IRF9 (37g)",0.0250700440920195,0.103074823639775,0.10092014337013,0.039352974992742,0.00155003636130024,0.156306426881512,0.265829234032338,0.112577487466794,0.0462588607497831,0.0566427263473088,0.118145178594222,0.0802293321982434,0.071824887320534,0.076369338466593
"RFX2 (115g)",0.0280671313347172,0.15673259237113,0.147036214925444,0.0369396781410125,0.00135644898745046,0.113025167348431,0.270529106922953,0.133212096969795,0.0408771836927709,0.0561676734993767,0.11427366176035,0.0764187485208836,0.0444972454154461,0.0498395777344577
"KLF8 (49g)",0.0330160334193428,0.155494744023856,0.152254514576266,0.0341593808734602,0.000959754334147744,0.0978478860236245,0.279875747089349,0.152380443058027,0.0527155743756725,0.0322131971929612,0.102678927086944,0.0678486077722923,0.0392035412263131,0.043724545821172
"MYB (11g)",0.0250506202440965,0.15343381453147,0.115656225000807,0.0238521115464995,0.000758813435797867,0.0631254775389389,0.316599948189336,0.136636736955518,0.0473890244886718,0.0153314170712054,0.0772218871502665,0.0639778545704146,0.0276427341022242,0.0260001508570694
"CUX1 (104g)",0.0283151244800079,0.190242928578146,0.11155119687351,0.0320066294141743,0.00108412482072839,0.0997706856567094,0.303394138973457,0.104116665805089,0.0433216064159463,0.029259861442456,0.131427035585975,0.0896662776144721,0.0400824295036866,0.0428379288623891
"HIF1A (22g)",0.0211517657364648,0.174594580315745,0.0854911636458238,0.0244843496945446,0.000890258408130284,0.0957351437224466,0.321588848374293,0.102992661709598,0.0436178180886757,0.0307040509987138,0.101238560089828,0.0763588350856178,0.0463159701811946,0.0452943325454878
"MYC (26g)",0.0230012154809294,0.202497209321689,0.0980315714753301,0.018358056893935,0.000431034012573939,0.0635366518040311,0.405110201985702,0.121408558810191,0.0476005824111504,0.0212567143543595,0.0457712790913803,0.037954457660582,0.0346690008483495,0.0256822839861697
"NFATC1 (17g)",0.0293373337554186,0.184851739379734,0.130058152506387,0.0237840256972555,0.000448363668851592,0.0691623141597397,0.363765521792966,0.146495454975977,0.0558539581312397,0.0181626315274994,0.0411696478990025,0.0267652636453392,0.0199890447290241,0.0259861860490884
"NFKB1 (273g)",0.0301356357852489,0.17083407894795,0.126933600903685,0.0309186462654564,0.000998124979739057,0.0939845771829223,0.318615618534735,0.128859227253954,0.050162068954578,0.0276632153057595,0.105975182409192,0.0819967609384155,0.0416769329185545,0.0419864792007538
"CHD2 (1503g)",0.0267383284335609,0.158220298965325,0.104938363907044,0.0315340881561049,0.00108987757867218,0.121806942470784,0.312017009465165,0.11465440335337,0.0478561559054128,0.0404679411287865,0.12114385272867,0.085382642638052,0.0501563265957783,0.0529189693365509
